sep=	
Event number	Timestamp	Severity	Object name	Object ID	Event ID	Event name	Description	Remedy	Readable	Raw
10685	2000-01-01 01:51:43	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10686	2000-01-01 02:01:59	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10687	2000-01-01 02:12:14	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10688	2000-01-01 02:22:30	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10689	2000-01-01 02:32:46	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10690	2000-01-01 02:43:01	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10691	2000-01-01 02:53:07	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10692	2000-01-01 03:03:23	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10693	2000-01-01 03:13:39	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10694	2000-01-01 03:23:54	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10695	2000-01-01 03:34:10	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10696	2000-01-01 03:44:26	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10697	2000-01-01 03:54:41	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10698	2000-01-01 04:04:57	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10699	2000-01-01 04:15:13	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10700	2000-01-01 04:25:28	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10701	2000-01-01 04:35:34	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10702	2000-01-01 04:45:50	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10703	2000-01-01 04:56:06	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10704	2000-01-01 05:06:21	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10705	2000-01-01 05:16:37	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10706	2000-01-01 05:26:53	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10707	2000-01-01 05:37:08	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10708	2000-01-01 05:47:24	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10709	2000-01-01 05:57:40	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10710	2000-01-01 06:07:56	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10711	2000-01-01 06:18:11	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10712	2000-01-01 06:28:27	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10713	2000-01-01 06:38:43	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10714	2000-01-01 06:48:58	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10715	2000-01-01 06:59:14	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10716	2000-01-01 07:09:30	Info	ISA100	132	213	IND_STOP_RECEIVED	ISA100 reset message recieved	Information only		04
10717	2000-01-01 00:00:01	Info	BOOT	63	0	VERSION	Boot starting - product firmware version	Information only		44 45 4d 4f 2d 76 31 2e 30 2e 30 2d 61 31 62 32 63 33 64 34 65 35
10718	2000-01-01 00:00:01	Info	BOOT	63	2	RESET_FLAG	Boot flags	Information only		03
10719	2000-01-01 00:00:01	Info	OSPERF	110	1	TRACE	Task trace	Information only		45 6d 70 74 79 20 74 72 61 63 65 00
10720	2000-01-01 00:00:04	Info	BATTERY	10	25	BOOT_VOLTAGE	Battery voltage at boot	Information only		00 00 00 00
10721	2000-01-01 00:00:05	Info	SENSOR	128	3	SENSOR_TYPE_CHANGED	Discovered connected sensor head type changed	Information only		01
10722	2000-01-01 00:00:05	Info	SENSOR	128	8	SENSOR_VERSION	Attached sensor head firmware version	Information only		45 53 49 4f 53 2d 76 31 2e 32 39 2e 30 2e 31 31 32 2d 6d 61 73 74 65 72 2d 62 36 63 38 64 32 33 34 66 2d 32 30 32 33 2d 30
10723	2000-01-01 00:00:05	Info	SENSOR	128	9	CONFIGURED_SENSOR_VERSION	Product firmware sensor head firmware version	Information only		45 53 49 4f 53 2d 76 31 2e 32 39 2e 30 2e 31 31 32 2d 6d 61 73 74 65 72 2d 62 36 63 38 64 32 33 34 66 2d 32 30 32 33 2d 30
10724	2000-01-01 00:00:06	Info	SENSOR	128	25	WCI_DIAG_STATUS_CHANGED	Sensor head device status changed	Information only		00 00 20 10
10725	2000-01-01 00:00:06	Info	UAPMO	1	6	DIAG_STATUS_CHANGED	Device status changed	Information only		80 00 00 00 00 00 00 41 00 00 20 51
10726	2000-01-01 00:00:00	Info	DEVICE_RESET	222	12					
10727	2000-01-01 00:00:06	Info	RADIO_APP	144	8	RADIO_VARIANT	Radio variant used in this product	Information only		01
10728	2000-01-01 00:00:01	Warning	DEVICE_STATUS_SET	202	56	RTC_NOT_VALID	HART cmd48 bit: REAL_TIME_CLOCK_NOT_VALID			
10729	2000-01-01 00:00:01	Info	SENSOR_UAPMO	12289	6	DIAG_STATUS_CHANGED	Device status changed			be 00 00 00 00 00 00 00 00 00 20 10
10730	2000-01-01 00:00:08	Info	ISA100	132	1108	RADIO_STATE_CHANGED	ISA100 internal radio state changed	Information only		00 02
10731	2000-01-01 00:00:08	Info	ISA100	132	1108	RADIO_STATE_CHANGED	ISA100 internal radio state changed	Information only		00 02
10732	2000-01-01 00:00:08	Info	RADIO_APP	144	13	SET_NETWORK_ID	Network ID is	Information only		01 00
10733	2000-01-01 00:00:08	Info	RADIO_APP	144	13	SET_NETWORK_ID	Network ID is	Information only		01 00
10734	2000-01-01 00:00:08	Info	RADIO_APP	144	11	SET_EUI64	EUI64 is	Information only		8c 45 00 ff fe 6e d6 40
10735	2000-01-01 00:00:08	Info	RADIO_APP	144	11	SET_EUI64	EUI64 is	Information only		8c 45 00 ff fe 6e d6 40
10736	2000-01-01 00:00:08	Info	RADIO_APP	144	10	SET_TAG	Tag is	Information only		41 52 4d 45 2d 30 30 32 32 00 00 00 00 00 00 00
10737	2000-01-01 00:00:08	Info	RADIO_APP	144	10	SET_TAG	Tag is	Information only		41 52 4d 45 2d 30 30 32 32 00 00 00 00 00 00 00
10738	2000-01-01 00:00:08	Info	RADIO_APP	144	25	RADIO_VERSION	Radio firmware revision	Information only		52 31 2e 30 31 2e 31 35 00 00 00 00 00 00 00 00
10739	2000-01-01 00:00:08	Info	RADIO_APP	144	25	RADIO_VERSION	Radio firmware revision	Information only		52 31 2e 30 31 2e 31 35 00 00 00 00 00 00 00 00
10740	2000-01-01 00:00:08	Warning	RADIO_APP	144	30	UNEXPECTED_TAG_NAME	Tag name is not as expected	Information only		
10741	2000-01-01 00:00:08	Warning	RADIO_APP	144	29	UNEXPECTED_NETWORK_ID	Network ID is not as expected	Information only		
10742	2000-01-01 00:00:24	Info	BOOT	63	8	BOOT_MASK	Boot completed	Information only		00 00 00 00
10743	2000-01-01 00:00:24	Info	UAPMO	1	6	DIAG_STATUS_CHANGED	Device status changed	Information only		3f 00 00 00 00 00 20 51 00 00 20 10
10744	2000-01-01 00:00:24	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		02
10745	2000-01-01 00:00:36	Info	BLUETOOTH	134	1	CONNECT	Bluetooth connected	Information only		42 6c 65 43 6f 6e 6e 65 63 74 00
10746	2000-01-01 00:00:36	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		03
10747	2000-01-01 00:00:36	Info	SENSOR	128	25	WCI_DIAG_STATUS_CHANGED	Sensor head device status changed	Information only		40 00 00 20
10748	2000-01-01 00:00:36	Info	UAPMO	1	6	DIAG_STATUS_CHANGED	Device status changed	Information only		80 00 00 00 00 00 20 10 40 00 00 20
10749	2000-01-01 00:03:10	Info	BLUETOOTH	134	2	DISCONNECT	Bluetooth disconnected	Information only		42 6c 65 44 69 73 63 6f 6e 6e 65 63 74 00
10750	2000-01-01 00:03:10	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		02
10751	2000-01-01 00:03:22	Info	BLUETOOTH	134	1	CONNECT	Bluetooth connected	Information only		42 6c 65 43 6f 6e 6e 65 63 74 00
10752	2000-01-01 00:03:22	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		03
10753	2000-01-01 00:04:42	Info	BLUETOOTH	134	2	DISCONNECT	Bluetooth disconnected	Information only		42 6c 65 44 69 73 63 6f 6e 6e 65 63 74 00
10754	2000-01-01 00:04:42	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		02
10755	2000-01-01 00:04:54	Info	BLUETOOTH	134	1	CONNECT	Bluetooth connected	Information only		42 6c 65 43 6f 6e 6e 65 63 74 00
10756	2000-01-01 00:04:54	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		03
10757	2000-01-01 00:05:59	Info	BLUETOOTH	134	2	DISCONNECT	Bluetooth disconnected	Information only		42 6c 65 44 69 73 63 6f 6e 6e 65 63 74 00
10758	2000-01-01 00:05:59	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		02
10759	2000-01-01 00:08:11	Info	BLUETOOTH	134	1	CONNECT	Bluetooth connected	Information only		42 6c 65 43 6f 6e 6e 65 63 74 00
10760	2000-01-01 00:08:11	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		03
10761	2000-01-01 00:08:17	Info	BLUETOOTH	134	2	DISCONNECT	Bluetooth disconnected	Information only		42 6c 65 44 69 73 63 6f 6e 6e 65 63 74 00
10762	2000-01-01 00:08:17	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		02
10763	2000-01-01 00:13:29	Info	BLUETOOTH	134	1	CONNECT	Bluetooth connected	Information only		42 6c 65 43 6f 6e 6e 65 63 74 00
10764	2000-01-01 00:13:29	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		03
10765	2000-01-01 00:14:05	Info	BLUETOOTH	134	2	DISCONNECT	Bluetooth disconnected	Information only		42 6c 65 44 69 73 63 6f 6e 6e 65 63 74 00
10766	2000-01-01 00:14:05	Info	SERVICE	143	22	HMI_STATE_CHANGE	HMI state changed	Information only		02
10767	2000-01-01 00:14:11	Info	BLUETOOTH	134	1	CONNECT	Bluetooth connected	Information only		42 6c 65 43 6f 6e 6e 65 63 74 00
